GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_h1,CumPaidLoss_h1,BulkLoss_h1,EarnedPremDIR_h1,EarnedPremCeded_h1,EarnedPremNet_h1,Single,PostedReserve97_h1
337,California Cas Grp,1988,1988,1,445,9,394,1328,433,895,0,691
337,California Cas Grp,1988,1989,2,442,36,292,1328,433,895,0,691
337,California Cas Grp,1988,1990,3,471,70,140,1328,433,895,0,691
337,California Cas Grp,1988,1991,4,493,182,72,1328,433,895,0,691
337,California Cas Grp,1988,1992,5,488,300,160,1328,433,895,0,691
337,California Cas Grp,1988,1993,6,358,301,45,1328,433,895,0,691
337,California Cas Grp,1988,1994,7,380,301,63,1328,433,895,0,691
337,California Cas Grp,1988,1995,8,358,301,48,1328,433,895,0,691
337,California Cas Grp,1988,1996,9,346,301,40,1328,433,895,0,691
337,California Cas Grp,1988,1997,10,347,301,45,1328,433,895,0,691
337,California Cas Grp,1989,1989,1,588,5,518,804,144,660,0,691
337,California Cas Grp,1989,1990,2,386,49,263,804,144,660,0,691
337,California Cas Grp,1989,1991,3,506,173,320,804,144,660,0,691
337,California Cas Grp,1989,1992,4,510,260,249,804,144,660,0,691
337,California Cas Grp,1989,1993,5,502,263,239,804,144,660,0,691
337,California Cas Grp,1989,1994,6,464,263,201,804,144,660,0,691
337,California Cas Grp,1989,1995,7,408,263,145,804,144,660,0,691
337,California Cas Grp,1989,1996,8,344,263,81,804,144,660,0,691
337,California Cas Grp,1989,1997,9,313,263,45,804,144,660,0,691
337,California Cas Grp,1989,1998,10,294,263,24,804,144,660,0,691
337,California Cas Grp,1990,1990,1,649,25,300,682,338,344,0,691
337,California Cas Grp,1990,1991,2,1271,594,609,682,338,344,0,691
337,California Cas Grp,1990,1992,3,1106,657,437,682,338,344,0,691
337,California Cas Grp,1990,1993,4,1141,562,579,682,338,344,0,691
337,California Cas Grp,1990,1994,5,1020,567,453,682,338,344,0,691
337,California Cas Grp,1990,1995,6,842,567,275,682,338,344,0,691
337,California Cas Grp,1990,1996,7,810,567,242,682,338,344,0,691
337,California Cas Grp,1990,1997,8,618,567,51,682,338,344,0,691
337,California Cas Grp,1990,1998,9,607,567,40,682,338,344,0,691
337,California Cas Grp,1990,1999,10,605,568,37,682,338,344,0,691
337,California Cas Grp,1991,1991,1,603,18,461,718,51,667,0,691
337,California Cas Grp,1991,1992,2,955,132,699,718,51,667,0,691
337,California Cas Grp,1991,1993,3,888,242,327,718,51,667,0,691
337,California Cas Grp,1991,1994,4,1343,705,378,718,51,667,0,691
337,California Cas Grp,1991,1995,5,1089,706,381,718,51,667,0,691
337,California Cas Grp,1991,1996,6,1094,706,388,718,51,667,0,691
337,California Cas Grp,1991,1997,7,825,706,119,718,51,667,0,691
337,California Cas Grp,1991,1998,8,759,706,53,718,51,667,0,691
337,California Cas Grp,1991,1999,9,756,706,50,718,51,667,0,691
337,California Cas Grp,1991,2000,10,718,706,12,718,51,667,0,691
337,California Cas Grp,1992,1992,1,994,12,908,351,62,289,0,691
337,California Cas Grp,1992,1993,2,877,115,680,351,62,289,0,691
337,California Cas Grp,1992,1994,3,771,196,503,351,62,289,0,691
337,California Cas Grp,1992,1995,4,511,202,309,351,62,289,0,691
337,California Cas Grp,1992,1996,5,485,202,283,351,62,289,0,691
337,California Cas Grp,1992,1997,6,287,202,85,351,62,289,0,691
337,California Cas Grp,1992,1998,7,247,202,45,351,62,289,0,691
337,California Cas Grp,1992,1999,8,250,202,48,351,62,289,0,691
337,California Cas Grp,1992,2000,9,216,202,14,351,62,289,0,691
337,California Cas Grp,1992,2001,10,202,202,0,351,62,289,0,691
337,California Cas Grp,1993,1993,1,633,0,594,308,150,158,0,691
337,California Cas Grp,1993,1994,2,634,60,478,308,150,158,0,691
337,California Cas Grp,1993,1995,3,507,263,210,308,150,158,0,691
337,California Cas Grp,1993,1996,4,719,391,323,308,150,158,0,691
337,California Cas Grp,1993,1997,5,494,415,79,308,150,158,0,691
337,California Cas Grp,1993,1998,6,463,421,43,308,150,158,0,691
337,California Cas Grp,1993,1999,7,466,421,45,308,150,158,0,691
337,California Cas Grp,1993,2000,8,435,421,14,308,150,158,0,691
337,California Cas Grp,1993,2001,9,421,421,0,308,150,158,0,691
337,California Cas Grp,1993,2002,10,421,421,0,308,150,158,0,691
337,California Cas Grp,1994,1994,1,341,1,340,239,8,231,0,691
337,California Cas Grp,1994,1995,2,240,18,194,239,8,231,0,691
337,California Cas Grp,1994,1996,3,361,165,162,239,8,231,0,691
337,California Cas Grp,1994,1997,4,388,276,109,239,8,231,0,691
337,California Cas Grp,1994,1998,5,302,257,43,239,8,231,0,691
337,California Cas Grp,1994,1999,6,238,172,53,239,8,231,0,691
337,California Cas Grp,1994,2000,7,191,174,14,239,8,231,0,691
337,California Cas Grp,1994,2001,8,174,174,0,239,8,231,0,691
337,California Cas Grp,1994,2002,9,174,174,0,239,8,231,0,691
337,California Cas Grp,1994,2003,10,174,174,0,239,8,231,0,691
337,California Cas Grp,1995,1995,1,16,0,16,4,-2,5,0,691
337,California Cas Grp,1995,1996,2,16,0,16,4,-2,5,0,691
337,California Cas Grp,1995,1997,3,4,0,4,4,-2,5,0,691
337,California Cas Grp,1995,1998,4,0,0,0,4,-2,5,0,691
337,California Cas Grp,1995,1999,5,5,0,5,4,-2,5,0,691
337,California Cas Grp,1995,2000,6,1,0,1,4,-2,5,0,691
337,California Cas Grp,1995,2001,7,0,0,0,4,-2,5,0,691
337,California Cas Grp,1995,2002,8,0,0,0,4,-2,5,0,691
337,California Cas Grp,1995,2003,9,0,0,0,4,-2,5,0,691
337,California Cas Grp,1995,2004,10,0,0,0,4,-2,5,0,691
337,California Cas Grp,1996,1996,1,0,0,0,0,0,0,0,691
337,California Cas Grp,1996,1997,2,0,0,0,0,0,0,0,691
337,California Cas Grp,1996,1998,3,0,0,0,0,0,0,0,691
337,California Cas Grp,1996,1999,4,0,0,0,0,0,0,0,691
337,California Cas Grp,1996,2000,5,0,0,0,0,0,0,0,691
337,California Cas Grp,1996,2001,6,0,0,0,0,0,0,0,691
337,California Cas Grp,1996,2002,7,0,0,0,0,0,0,0,691
337,California Cas Grp,1996,2003,8,0,0,0,0,0,0,0,691
337,California Cas Grp,1996,2004,9,0,0,0,0,0,0,0,691
337,California Cas Grp,1996,2005,10,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,1997,1,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,1998,2,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,1999,3,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,2000,4,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,2001,5,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,2002,6,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,2003,7,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,2004,8,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,2005,9,0,0,0,0,0,0,0,691
337,California Cas Grp,1997,2006,10,0,0,0,0,0,0,0,691
460,Buckeye Ins Grp,1988,1988,1,61,21,15,391,283,108,0,1352
460,Buckeye Ins Grp,1988,1989,2,44,33,6,391,283,108,0,1352
460,Buckeye Ins Grp,1988,1990,3,61,44,4,391,283,108,0,1352
460,Buckeye Ins Grp,1988,1991,4,72,58,3,391,283,108,0,1352
460,Buckeye Ins Grp,1988,1992,5,70,69,0,391,283,108,0,1352
460,Buckeye Ins Grp,1988,1993,6,71,71,0,391,283,108,0,1352
460,Buckeye Ins Grp,1988,1994,7,71,71,0,391,283,108,0,1352
460,Buckeye Ins Grp,1988,1995,8,71,71,0,391,283,108,0,1352
460,Buckeye Ins Grp,1988,1996,9,71,71,0,391,283,108,0,1352
460,Buckeye Ins Grp,1988,1997,10,71,71,0,391,283,108,0,1352
460,Buckeye Ins Grp,1989,1989,1,128,43,30,396,207,189,0,1352
460,Buckeye Ins Grp,1989,1990,2,129,97,24,396,207,189,0,1352
460,Buckeye Ins Grp,1989,1991,3,114,103,10,396,207,189,0,1352
460,Buckeye Ins Grp,1989,1992,4,112,109,3,396,207,189,0,1352
460,Buckeye Ins Grp,1989,1993,5,109,109,0,396,207,189,0,1352
460,Buckeye Ins Grp,1989,1994,6,109,109,0,396,207,189,0,1352
460,Buckeye Ins Grp,1989,1995,7,109,109,0,396,207,189,0,1352
460,Buckeye Ins Grp,1989,1996,8,109,109,0,396,207,189,0,1352
460,Buckeye Ins Grp,1989,1997,9,109,109,0,396,207,189,0,1352
460,Buckeye Ins Grp,1989,1998,10,109,109,0,396,207,189,0,1352
460,Buckeye Ins Grp,1990,1990,1,151,26,81,459,209,250,0,1352
460,Buckeye Ins Grp,1990,1991,2,145,71,43,459,209,250,0,1352
460,Buckeye Ins Grp,1990,1992,3,145,105,50,459,209,250,0,1352
460,Buckeye Ins Grp,1990,1993,4,133,115,10,459,209,250,0,1352
460,Buckeye Ins Grp,1990,1994,5,127,124,1,459,209,250,0,1352
460,Buckeye Ins Grp,1990,1995,6,126,125,0,459,209,250,0,1352
