GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_R1,CumPaidLoss_R1,BulkLoss_R1,EarnedPremDIR_R1,EarnedPremCeded_R1,EarnedPremNet_R1,Single,PostedReserve97_R1
78,Federated Mut Grp,1988,1988,1,29483,3894,18410,29513,0,29513,0,86660
78,Federated Mut Grp,1988,1989,2,28826,7409,13495,29513,0,29513,0,86660
78,Federated Mut Grp,1988,1990,3,27063,11199,7770,29513,0,29513,0,86660
78,Federated Mut Grp,1988,1991,4,26001,16913,4721,29513,0,29513,0,86660
78,Federated Mut Grp,1988,1992,5,24614,18517,2984,29513,0,29513,0,86660
78,Federated Mut Grp,1988,1993,6,23763,19722,1937,29513,0,29513,0,86660
78,Federated Mut Grp,1988,1994,7,21912,20417,770,29513,0,29513,0,86660
78,Federated Mut Grp,1988,1995,8,22652,20902,797,29513,0,29513,0,86660
78,Federated Mut Grp,1988,1996,9,22406,21208,449,29513,0,29513,0,86660
78,Federated Mut Grp,1988,1997,10,22475,21368,415,29513,0,29513,0,86660
78,Federated Mut Grp,1989,1989,1,27023,3883,17693,27835,0,27835,0,86660
78,Federated Mut Grp,1989,1990,2,27692,6869,11991,27835,0,27835,0,86660
78,Federated Mut Grp,1989,1991,3,29854,10489,8981,27835,0,27835,0,86660
78,Federated Mut Grp,1989,1992,4,30105,14410,6558,27835,0,27835,0,86660
78,Federated Mut Grp,1989,1993,5,28178,16605,4875,27835,0,27835,0,86660
78,Federated Mut Grp,1989,1994,6,25693,18485,3131,27835,0,27835,0,86660
78,Federated Mut Grp,1989,1995,7,23116,20112,1335,27835,0,27835,0,86660
78,Federated Mut Grp,1989,1996,8,21923,20654,545,27835,0,27835,0,86660
78,Federated Mut Grp,1989,1997,9,21459,20835,234,27835,0,27835,0,86660
78,Federated Mut Grp,1989,1998,10,21723,21119,227,27835,0,27835,0,86660
78,Federated Mut Grp,1990,1990,1,29811,4178,18823,28309,0,28309,0,86660
78,Federated Mut Grp,1990,1991,2,32059,7473,13720,28309,0,28309,0,86660
78,Federated Mut Grp,1990,1992,3,32307,11281,9262,28309,0,28309,0,86660
78,Federated Mut Grp,1990,1993,4,30039,15874,6275,28309,0,28309,0,86660
78,Federated Mut Grp,1990,1994,5,25445,19186,3232,28309,0,28309,0,86660
78,Federated Mut Grp,1990,1995,6,24091,20993,1530,28309,0,28309,0,86660
78,Federated Mut Grp,1990,1996,7,23526,22069,758,28309,0,28309,0,86660
