year,cik_number,mktcap
2018,0000878334,3162687931
2018,0001081862,16810662751
2018,0000868822,8001655
2018,0000749098,15196648088
2018,0000718940,35505321530
2018,0000002809,9476438707
2018,0000895728,62857213258
2018,0000886986,12218988540
2018,0001144800,1171995580
2018,0000877365,2311118466
2018,0001212233,471116252
2018,0001173382,5879490156
2018,0001225525,706962629
2018,0001666175,14236572118
2018,0000801166,7499627364
2018,0000049279,10396794470
2018,0000825171,538255
2018,0001456346,13078608598
2018,0001202643,2491810902
2018,0000886977,3752231078
2018,0001012881,411119894
2018,0000827809,15903073
2018,0000878518,108834057
2018,0001602397,727675391
2018,0001009001,4491511834
2018,0000880224,730178564
2018,0001081825,5790700941
2018,0001020825,2418970
2018,0000885590,6474137242
2018,0000756894,15775048967
2018,0000919239,8522554560
2018,0000918608,465661273
2018,0000884713,1919353733
2018,0001020791,27013732
2018,0001126874,1897450251
2018,0001334388,189662938
2018,0000893691,1188916664
2018,0001127248,7465073583
2018,0001453015,557397555
2018,0001013605,510419262
2018,0000311337,44581663617
2018,0000925721,3747218
2018,0001718420,7953653652
2018,0000771992,2240042861
2018,0001076930,2199022623
2018,0000887997,32602426
2018,0000849997,5584812
2018,0000885459,47132531
2018,0001173420,1189977566
2018,0001264089,2233991131
2018,0001439007,38849509
2018,0001371679,17492003
2018,0000942220,12409986
2018,0001503812,1852996512
2018,0001131383,2473924535
2018,0001061574,16123933199
2018,0001017413,29124090589
2018,0001203464,1717411054
2018,0001527038,6165917
2018,0000701818,4032700620
2018,0001025761,3138839
2018,0000016868,53976322116
2018,0001271892,4805149
2018,0001333849,50594105
2018,0000783324,52829328
2018,0001228274,137242871
2018,0001279495,978840883
2018,0000810045,166893301
2018,0000843405,365320546
2018,0000903571,346178757
2018,0001323838,3038079
2018,0000885307,38662637
2018,0001327899,6765181
2018,0001700614,15528278
2018,0001061894,6280267712
2018,0001271580,6176237
2018,0001063259,272106370
2018,0000723163,817742
2018,0001082429,1971106
2018,0001574019,292404092
2018,0001036141,86907293
2018,0000863678,905524
2018,0001177439,13915873
2018,0000833987,29919397
2018,0001262587,131916186
2018,0001111863,484391619
2018,0000736744,134448819
2018,0001512717,473243219
2018,0001422386,419664
2018,0001030894,1030059546
2018,0000926882,15684373
2018,0001113423,48932985
2018,0001285170,1772294
2018,0000921638,1454326652
2018,0001695519,2779448725
2018,0001204413,141660399
2018,0001262767,689532879
2018,0001368869,1503610592
2018,0001505817,647812242
2018,0001071265,5579408980
2018,0001022646,149781444
2018,0001416992,2495010
2018,0000063789,20149504
2018,0001314173,8354922
2018,0001048295,223261880
2018,0000943946,1402501
2018,0001070235,4754896543
2018,0001370416,176399539
2018,0001158041,3319190339
2018,0001108828,270817184
2018,0000882361,71993035
2018,0001129929,1280038342
2018,0001518419,115847251
2018,0001088166,244608362
2018,0001571510,661581055
2018,0001447028,212477806
2018,0000764195,145893428
2018,0001293135,3215143034
2018,0000813639,13801403
2018,0001004530,300206245
2018,0000887701,465429253
2018,0001050140,2388284472
2018,0001600620,580591280
2018,0001464772,26324325
2018,0000825236,3992952
2018,0001119985,76665537
2018,0001259942,117425758
2018,0001713443,5476808610
2018,0001385849,258274520
2018,0001629632,33548620
2018,0001116284,103745061
2018,0001305591,55286704
2018,0001076530,2261663207
2018,0001133519,70228298
2018,0001359507,20822487
2018,0001211583,123659816
2018,0001562755,2084488
2018,0001002638,9400196492
2018,0000873612,16017098
2018,0001545851,1668805458
2018,0001060289,697920
2018,0001354260,1725904
2018,0001280727,855735754
2018,0001405524,58758187
2018,0001304277,18916715
2018,0001351172,139675606
2018,0001499930,35747359
2018,0001474835,3255436
2018,0001057791,64366594
2018,0001374415,2278744
2018,0000930444,5455115
2018,0001437598,99001535
2018,0001388100,3305489
2018,0001387893,1325831967
2018,0001437424,57020911
2018,0001071172,2627508
2018,0001283176,72690344
2018,0001427328,6352434
2018,0001395447,773764
2018,0001739376,9281598
2018,0001077640,48991627
2018,0001289028,48927876
2018,0001077296,123304835
2018,0000102359,18327102
2018,0000861972,10662668
2018,0001064052,9003741
2018,0001015647,74475524
2018,0001267818,18616848
2018,0001072725,206936388
2018,0001463577,9255052
2018,0001072424,4640500
2018,0001157752,159526913
2018,0001073238,4807952
2018,0001487326,2257918564
2018,0001271654,1004348930
2018,0000800166,445484734
2018,0001546066,15029814652
2018,0000861987,64530506
2018,0001129928,31225840
2018,0001318220,19574189982
2018,0001468079,269896226
2018,0001174169,4863270371
2018,0000351834,337480570
2018,0001173643,43479839
2018,0001210095,45699565
2018,0001028209,2069157
2018,0001308850,1240937006
2018,0001605308,53286434
2018,0001564538,1783962284
2018,0001551769,4324282210
2018,0001232384,32647576101
2018,0001533436,7561434
2018,0001472557,977443499
2018,0001178819,1408267053
2018,0001252095,115665910
2018,0001584549,154346292
2018,0001442503,3959717714
2018,0001389831,178684851
2018,0001046102,3557691009
2018,0001272575,12196881
2018,0001377085,3032696591
2018,0001322422,1237312587
2018,0001163583,7283168
2018,0001060883,542831914
2018,0001330095,259889569
2018,0001347212,114427366
2018,0001419242,237336532
2018,0001358575,33496889
2018,0001483405,37367356
2018,0001323404,8674076684
2018,0001095052,30095446
2018,0001685903,680991607
2018,0001329493,499027293
2018,0001173503,49037083
2018,0001340677,435537978
2018,0001513186,690842141
2018,0001375205,103834897
2018,0001398972,30958776
2018,0001364128,100548789
2018,0001085105,83680514
2018,0001277866,281378493
2018,0001200674,615989814
2018,0001562659,42766036
2018,0001313974,10403961
2018,0001271554,70349264
2018,0001364125,45807551
2018,0001113678,13575566338
2018,0000905790,389482248
2018,0001384180,727100488
2018,0001303936,4428110
2018,0001001500,43340164
2018,0001058806,286455224
2018,0001475655,29874662
2018,0000899113,5973255
2018,0001348656,459155300
2018,0001286973,70953323
2018,0001336835,28180023
2018,0001454263,4736800
2018,0001349622,75352
2018,0001367671,21784488
2018,0001300050,120284903
2018,0001368519,241098398
2018,0001391158,1481750707
2018,0000866028,260953000
2018,0001331092,1038546
2018,0001408423,977886168
2018,0001393435,6731749
2018,0001497604,2333730
2018,0001722214,19589834
2018,0001074850,19856077
2018,0001385226,4872357
2018,0001441758,19179177
2018,0001329800,53346100
2018,0001301713,7542175
2018,0001406052,79813987
2018,0001365827,24065131
2018,0001570587,9096224
2018,0000877019,768493
2018,0001047227,3523656
2018,0001473505,10619562
2018,0000884247,11331363
2018,0001350721,526201665
2018,0001284237,2829653
2018,0001388542,2875146
2018,0001220542,139730530
2018,0001544898,5599708
2018,0001462007,649984872
2018,0001308648,1138624290
2018,0001472619,10302933
2018,0001523670,12764897
2018,0001387473,27111256
2018,0001433687,60577983
2018,0001486084,2840866
2018,0001441374,14882611
2018,0001419329,3134538
2018,0001392333,25305147
2018,0001395961,12363550
2018,0001466216,3766967
2018,0001350138,5182427
2018,0001511414,21786892
2018,0001726126,119985772
2018,0001372192,18892084
2018,0001327308,12563757
2018,0001164771,174614110
2018,0001515828,32993150
2018,0001439836,3574712
2018,0001736289,14642394
2018,0000865400,992732
2018,0001436167,1020729
2018,0001450894,7785947
2018,0001414704,27502619
2018,0000911987,388045
2018,0001462081,37659285
2018,0001506714,1546704
2018,0001639420,1190246
2018,0001386340,3642099
2018,0001054286,519655
2018,0000801654,17716138
2018,0001406635,21110369
2018,0001337090,11072822
2018,0001399555,863539
2018,0001237825,20477027
2018,0001391037,528057
2018,0001332311,1236289
2018,0000800523,1162910
2018,0001546241,4756803
2018,0001410324,122147698
2018,0001065680,8976310
2018,0001253173,4023570
2018,0001610820,16368459
2018,0001429937,2894612232
2018,0000762334,1330767
2018,0001522729,2243538
2018,0001056301,2698719
2018,0000877014,4304470
2018,0001113260,7313413
2018,0001701246,3970552
2018,0001318596,5035161
2018,0001087072,40786279
2018,0001271199,9078255
2018,0001175596,6383406
2018,0001075756,977549
2018,0001006425,30781018
2018,0001324620,4215853
2018,0001417834,2636946
2018,0001545045,8367631
2018,0001124816,4632386
2018,0001321992,31888739
2018,0001267561,21305750
2018,0001007124,3805253
2018,0000858043,1811490
2018,0001417801,3972324
2018,0001178088,913305
2018,0000831609,34970887
2018,0001394189,59471034
2018,0001526475,16895942
2018,0001529465,1888831
2018,0001727137,60289390
2018,0001358397,1789450
2018,0001266695,1619356
2018,0001687111,320401
2018,0001304658,11860726
2018,0001083285,684335
2018,0000865378,6993133
2018,0001384825,24992256
2018,0001230992,627076283
2018,0001736425,1426985
2018,0001405611,12936377
2018,0001525364,14930883
2018,0000800327,11447504
2018,0001409036,2615392
2018,0001231346,806743066
2018,0001362898,13438093
2018,0001326910,458530
2018,0001355736,2939936
2018,0000811838,28390652
2018,0001117213,5030608
2018,0001700553,15357082
2018,0001066130,1979085
2018,0001478035,95383791
2018,0001406266,3734005
2018,0001470385,56160600
2018,0001509827,8247068
2018,0001407838,19772207
2018,0001500424,6253474
2018,0001520211,1842370
2018,0001355824,34828313
2018,0001385666,41577550
2018,0001375877,848650157
2018,0001466187,46291998
2018,0001702987,12025505
2018,0000920827,7874761
2018,0001378043,116420888
2018,0001408146,46920365
2018,0000942149,3045214
2018,0001008112,517505
2018,0001512228,96846263
2018,0001480721,18638557
2018,0001464368,4992047
2018,0000842625,744677
2018,0001228846,4085349
2018,0000811522,2057088
2018,0001474231,59271152
2018,0001537137,64213783
2018,0001511433,19885988
2018,0001630096,1834397
2018,0001289381,5272086
2018,0000277910,3391866
2018,0001384080,1382424
2018,0001161814,20056190
2018,0001393355,99284996
2018,0001028357,545435
2018,0001512920,476046364
2018,0001031020,2887858
2018,0001061612,7705769
2018,0001233475,636053
2018,0001401040,34794504
2018,0001254435,1163001
2018,0000800953,23740289
2018,0001319150,15953042
2018,0001390352,14802820
2018,0001754718,183500614
2018,0001607807,5728689
2018,0001254451,9068660
2018,0001466725,50710542
2018,0001126932,19771368
2018,0001432938,1910434
2018,0001507886,5086940
2018,0001434614,846238272
2018,0001683408,11276685
2018,0000840551,26854473
2018,0001488063,14804195
2018,0001609436,9711443
2018,0001422532,16764990
2018,0001481857,906786
2018,0001421642,3095731
2018,0001514363,682480
2018,0001477201,3100963
2018,0001359442,3772347
2018,0001495108,6190826
2018,0001603519,3804329
2018,0001424165,4813158
2018,0001469907,22735894
2018,0001509526,1483077
2018,0001420882,27590930
2018,0001497677,3088869
2018,0001321847,325690608
2018,0001613144,7619389
2018,0001414336,6831913
2018,0001683541,3994612765
2018,0000716332,598345
2018,0001423867,135544229
2018,0001461499,1507403
2018,0001477081,55494355
2018,0001463915,13266187
2018,0001592022,17999979
2018,0001538189,4107775
2018,0001545620,58646130
2018,0000781885,6949350
2018,0001431463,32202812
2018,0001123267,5908328
2018,0001518353,58879613
2018,0001358220,226640122
2018,0001527574,3291020
2018,0001492927,14972084
2018,0001582284,11873569
2018,0001470945,118383170
2018,0000899114,1591532
2018,0001378909,17116324
2018,0000930534,15926569
2018,0001427728,9154970
2018,0001440986,473125
2018,0001679849,2068139
2018,0001588837,1231748
2018,0001102706,4157214
2018,0001732379,3396219
2018,0001409680,6170288
2018,0001489353,7443376
2018,0001500684,99540984
2018,0001431895,3836634
2018,0001509397,45112989
2018,0001479253,36538361
2018,0000932145,9294291
2018,0000768374,1227260
2018,0001545846,3486353
2018,0000927862,3414013
2018,0001494010,2259090
2018,0001524055,15908026
2018,0001510604,15608257
2018,0001525047,357429
2018,0001467093,1373963
2018,0001635729,4451204
2018,0001422471,175854836
2018,0001495651,23637609
2018,0001502154,71412075
2018,0001406194,15930036
2018,0001113152,11622940
2018,0000814643,7354183
2018,0001358429,18505322
2018,0001114727,5574181
2018,0001677324,8729585
2018,0001512981,16198391
2018,0001099957,790117
2018,0001606308,3158871
2018,0001491434,21910550
2018,0001317513,34818092
2018,0001398832,259718631
2018,0001127307,2042529
2018,0000319042,26936534
2018,0001380342,2214826
2018,0001526281,4787466
2018,0001116548,8047044
2018,0001442698,10943265
2018,0001145345,9371973
2018,0001452389,779772897
2018,0001635687,1257898
2018,0001341335,586172548
2018,0001400094,9287319
2018,0001644540,2589809
2018,0001382202,5415415
2018,0001538551,4688268
2018,0000808031,1299607
2018,0001393510,6941091
2018,0001421371,110346349
2018,0001517597,7897615
2018,0001431922,31762336
2018,0001359134,615216
2018,0001403749,14920658
2018,0001587237,2817819
2018,0001538169,160255396
2018,0001546160,533635
2018,0001303180,1227392
2018,0001469375,5261226
2018,0001053574,24131781
2018,0001507713,12739772
2018,0001382367,194020607
2018,0001356452,573563
2018,0001010559,6818976
2018,0001400438,1093655557
2018,0001175870,6596487
2018,0001417082,98128783
2018,0000922368,2569642
2018,0001436018,1899674
2018,0000817390,12325498
2018,0001398713,10634724
2018,0001441412,7866036
2018,0001348227,289930476
2018,0001364483,1317570
2018,0001421569,2918832
2018,0001125769,2511215
2018,0001578010,309235
2018,0000844555,20353958
2018,0001394039,11359683
2018,0001509162,34738636
2018,0001677084,2828355
2018,0001322569,2412068
2018,0001489101,14846874
2018,0001680054,2118403
2018,0000932476,11338544
2018,0001285786,89110096
2018,0001023023,8622912
2018,0001199392,2594635
2018,0001267156,973399
2018,0001505031,163912459
2018,0001142462,6420116
2018,0001745136,1999051
2018,0001136861,1640611
2018,0000872699,15450265
2018,0001427544,62448970
2018,0001123870,47133709
2018,0001395229,79517701
2018,0001463978,13682341
2018,0001001342,39388807
2018,0000837187,6484530
2018,0001541190,16507176
2018,0001310991,1964764
2018,0001363735,395605
2018,0001405663,17846017
2018,0001318998,1010701
2018,0001410129,1544321
2018,0001371156,9645080
2018,0001222659,655626
2018,0001565716,58416759
2018,0000899740,4623338
2018,0001584322,7034301
2018,0001395907,3500342
2018,0001388891,19320396
2018,0001191832,4272825
2018,0001419478,1102624
2018,0001381215,23771266
2018,0000854328,1273687
2018,0001004112,8146623
2018,0001464928,40131070
2018,0001392671,1871265
2018,0001498744,24829331
2018,0001382498,63814585
2018,0001520955,160824
2018,0001548769,2211123
2018,0001475252,40965316
2018,0001399708,14381370
2018,0001364252,3991108
2018,0001432588,5728584
2018,0001377757,144014379
2018,0001277983,1063676
2018,0000801888,3099868
2018,0000936801,3269894
2018,0001384831,32430982
2018,0000835791,1292780
2018,0001088354,1648244
2018,0001293181,1117118
2018,0001603832,21425627
2018,0001038180,9228239
2018,0001339688,8839644
2018,0000831578,3226829
2018,0000833977,1383785
2018,0001365079,720037
2018,0000915908,1803624
2018,0001308964,144145159
2018,0001028277,32515023
2018,0001297467,2084730
2018,0001420049,1274012
2018,0000811835,129681285
2018,0000872024,4518504
2018,0001717391,16038974
2018,0001314958,2809635
2018,0001422085,5789890
2018,0000316888,39002803
2018,0001299878,1388901
2018,0001585505,4264322
2018,0001023109,7185300
2018,0001600660,71567313
2018,0001428049,11442265
2018,0001396181,3961757
2018,0001497574,2744090
2018,0001160191,1948405
2018,0001502853,7921660
2018,0000043462,13713845
2018,0001385564,6176234
2018,0001528236,10793935
2018,0000872043,550135
2018,0001488469,30450475
2018,0001321334,6560070
2018,0001477292,808650157
2018,0001337745,3963492
2018,0001289695,549670
2018,0000800362,1088447
2018,0001421231,3261710
2018,0001608808,961206
2018,0000855950,1297740
2018,0000921968,995939
2018,0001309552,3691533
2018,0000847687,704991
2018,0001314973,1712433
2018,0001388502,1323937
2018,0001401395,253721776
2018,0001177440,3004986
2018,0001730892,11387339
2018,0001356637,1053074
2018,0001508649,22536978
2018,0001403870,23921886
2018,0001158399,12166706
2018,0001571724,2428430
2018,0001561180,90440280
2018,0001040368,6782024
2018,0001479755,4170419
2018,0001548958,9069608
2018,0001478455,160506
2018,0001290982,57131507
2018,0001415758,2008998
2018,0001518764,14332069
2018,0001590252,3261210
2018,0001391621,1994377
2018,0000880009,4536275
2018,0000800914,222217716
2018,0001574239,6448318
2018,0001527712,15022929
2018,0001484449,3028592
2018,0001539472,3774848
2018,0001168960,20365195
2018,0001557440,6104234
2018,0001686000,18329475
2018,0001483016,14671726
2018,0001641229,100209674
2018,0001397616,16533240
2018,0001377524,3327480
2018,0001510070,24424384
2018,0001405537,12546038
2018,0001038182,2841249
2018,0001432952,855313
2018,0001585808,6370064
2018,0001474607,8961368
2018,0001720553,30924147
2018,0001476573,55441862
2018,0001484457,25343245
2018,0001722387,47605238
2018,0001085921,6539066
2018,0001040702,15614763
2018,0001402948,252874692
2018,0001372448,5589249
2018,0001576963,62513978
2018,0001498371,320989727
2018,0001501010,4690765
2018,0001393878,3093668
2018,0001722606,47242131
2018,0001488843,2479498
2018,0001709554,15718365
2018,0001560904,1573007
2018,0001639764,545281
2018,0000930537,338458
2018,0001544770,79269083
2018,0001307926,2563587
2018,0001495744,2101976
2018,0001537513,1698352
2018,0001503778,615864
2018,0001461119,222303728
2018,0001722694,7211046
2018,0001134115,97326721
2018,0001422669,870334
2018,0001495730,4751684
2018,0001514597,82827353
2018,0001475260,8647098217
2018,0000215797,150199339
2018,0001472466,37622359
2018,0001274599,23561657
2018,0001516328,15456962
2018,0001445467,3974555
2018,0001726851,5222988
2018,0001683274,1048124
2018,0001009922,18599968
2018,0001340169,8294519
2018,0001470729,43815825
2018,0001105122,32848440
2018,0001482753,8819576
2018,0001517179,483295
2018,0001393367,19787460
2018,0001494335,4725715
2018,0001480313,6127306
2018,0001601603,9369827
2018,0001600139,6370836
2018,0001570843,12222958
2018,0001477701,203333782
2018,0001479480,1986959
2018,0001466217,2452232
2018,0001377662,2969382
2018,0001598773,19920421
2018,0001543872,8806640
2018,0001389704,2315129
2018,0001450950,1188947
2018,0001296706,22755017
2018,0001440972,279911945
2018,0000810926,49407103
2018,0001435552,1966395
2018,0001165786,3619844
2018,0001504673,6663191
2018,0001421570,32188721
2018,0001488627,828762539
2018,0001543944,12474511
2018,0001497496,5734856
2018,0001543690,10303601
2018,0000863681,445370
2018,0001687411,8403374
2018,0001739332,17279174
2018,0001072011,49784773
2018,0001401420,21957402
2018,0001527246,19841509
2018,0001161879,7910538
2018,0001613186,23018252
2018,0001019742,12961429
2018,0001603961,3460745
