GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_C,CumPaidLoss_C,BulkLoss_C,EarnedPremDIR_C,EarnedPremCeded_C,EarnedPremNet_C,Single,PostedReserve97_C
266,Public Underwriters Grp,1988,1988,1,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1988,1989,2,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1988,1990,3,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1988,1991,4,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1988,1992,5,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1988,1993,6,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1988,1994,7,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1988,1995,8,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1988,1996,9,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1988,1997,10,0,0,0,0,0,0,0,932
266,Public Underwriters Grp,1989,1989,1,22,6,6,25,0,25,0,932
266,Public Underwriters Grp,1989,1990,2,24,20,1,25,0,25,0,932
266,Public Underwriters Grp,1989,1991,3,21,21,0,25,0,25,0,932
266,Public Underwriters Grp,1989,1992,4,24,23,0,25,0,25,0,932
266,Public Underwriters Grp,1989,1993,5,25,24,0,25,0,25,0,932
266,Public Underwriters Grp,1989,1994,6,25,24,0,25,0,25,0,932
266,Public Underwriters Grp,1989,1995,7,24,24,0,25,0,25,0,932
266,Public Underwriters Grp,1989,1996,8,24,24,0,25,0,25,0,932
266,Public Underwriters Grp,1989,1997,9,24,24,0,25,0,25,0,932
266,Public Underwriters Grp,1989,1998,10,24,24,0,25,0,25,0,932
266,Public Underwriters Grp,1990,1990,1,191,52,49,827,562,265,0,932
266,Public Underwriters Grp,1990,1991,2,142,95,8,827,562,265,0,932
266,Public Underwriters Grp,1990,1992,3,130,105,5,827,562,265,0,932
266,Public Underwriters Grp,1990,1993,4,134,117,3,827,562,265,0,932
266,Public Underwriters Grp,1990,1994,5,128,128,0,827,562,265,0,932
266,Public Underwriters Grp,1990,1995,6,128,128,0,827,562,265,0,932
266,Public Underwriters Grp,1990,1996,7,128,128,0,827,562,265,0,932
266,Public Underwriters Grp,1990,1997,8,128,128,0,827,562,265,0,932
266,Public Underwriters Grp,1990,1998,9,128,128,0,827,562,265,0,932
266,Public Underwriters Grp,1990,1999,10,128,128,0,827,562,265,0,932
266,Public Underwriters Grp,1991,1991,1,367,127,100,1807,1295,512,0,932
266,Public Underwriters Grp,1991,1992,2,353,258,18,1807,1295,512,0,932
266,Public Underwriters Grp,1991,1993,3,355,301,9,1807,1295,512,0,932
266,Public Underwriters Grp,1991,1994,4,360,332,5,1807,1295,512,0,932
266,Public Underwriters Grp,1991,1995,5,381,372,1,1807,1295,512,0,932
266,Public Underwriters Grp,1991,1996,6,378,376,0,1807,1295,512,0,932
