GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_F2,CumPaidLoss_F2,BulkLoss_F2,EarnedPremDIR_F2,EarnedPremCeded_F2,EarnedPremNet_F2,Single,PostedReserve97_F2
669,Scpie Indemnity Co,1988,1988,1,121905,2716,97966,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1988,1989,2,112211,24576,64117,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1988,1990,3,103226,43990,39008,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1988,1991,4,99599,59722,20736,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1988,1992,5,96006,71019,13599,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1988,1993,6,90487,76354,10577,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1988,1994,7,82640,76792,3762,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1988,1995,8,80406,77207,2105,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1988,1996,9,78920,77588,819,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1988,1997,10,78511,77656,407,129104,-6214,135318,0,344558
669,Scpie Indemnity Co,1989,1989,1,122679,3835,104402,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1989,1990,2,113165,25158,63198,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1989,1991,3,110037,45145,37567,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1989,1992,4,101142,60331,21284,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1989,1993,5,90817,67457,12614,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1989,1994,6,81919,70821,6276,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1989,1995,7,77491,71769,3915,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1989,1996,8,73577,72085,1311,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1989,1997,9,72716,72035,539,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1989,1998,10,72317,72171,58,131948,20010,111938,0,344558
669,Scpie Indemnity Co,1990,1990,1,118157,4838,99473,112742,13449,99293,0,344558
669,Scpie Indemnity Co,1990,1991,2,117497,27965,56076,112742,13449,99293,0,344558
669,Scpie Indemnity Co,1990,1992,3,116377,50873,32771,112742,13449,99293,0,344558
669,Scpie Indemnity Co,1990,1993,4,99895,66400,15125,112742,13449,99293,0,344558
