GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_D,CumPaidLoss_D,BulkLoss_D,EarnedPremDIR_D,EarnedPremCeded_D,EarnedPremNet_D,Single,PostedReserve97_D
86,Allstate Ins Co Grp,1988,1988,1,367404,70571,127737,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1988,1989,2,362988,155905,60173,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1988,1990,3,347288,220744,27763,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1988,1991,4,330648,251595,15280,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1988,1992,5,354690,274156,27689,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1988,1993,6,350092,287676,20641,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1988,1994,7,346808,298499,14513,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1988,1995,8,349124,304873,15862,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1988,1996,9,348157,321808,8974,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1988,1997,10,347762,325322,8843,400699,5957,394742,0,281872
86,Allstate Ins Co Grp,1989,1989,1,336928,66547,116172,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1989,1990,2,316483,136447,52298,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1989,1991,3,278496,179142,20543,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1989,1992,4,303033,211343,28846,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1989,1993,5,299496,231430,22033,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1989,1994,6,295061,244750,17174,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1989,1995,7,299251,254557,17851,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1989,1996,8,297492,270059,10305,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1989,1997,9,300620,273873,12520,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1989,1998,10,296626,277574,7331,379603,5351,374252,0,281872
86,Allstate Ins Co Grp,1990,1990,1,289198,52233,108959,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1990,1991,2,311381,133370,62543,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1990,1992,3,277980,178444,32561,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1990,1993,4,277732,204442,25858,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1990,1994,5,276563,222193,21189,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1990,1995,6,278067,232940,16645,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1990,1996,7,276704,253337,9428,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1990,1997,8,281101,256788,11861,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1990,1998,9,278023,261166,6895,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1990,1999,10,279032,263000,6455,283661,3341,280320,0,281872
86,Allstate Ins Co Grp,1991,1991,1,297174,59315,112836,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1991,1992,2,277209,128051,60251,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1991,1993,3,269739,169793,37066,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1991,1994,4,272666,196685,28931,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1991,1995,5,271318,213165,24175,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1991,1996,6,267578,234676,12850,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1991,1997,7,269592,239195,12899,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1991,1998,8,267745,245499,8296,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1991,1999,9,266677,247131,7246,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1991,2000,10,264467,248319,5807,318922,4940,313982,0,281872
86,Allstate Ins Co Grp,1992,1992,1,181796,39991,73135,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1992,1993,2,205079,89873,52160,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1992,1994,3,199106,114117,39554,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1992,1995,4,187833,133003,20231,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1992,1996,5,185663,154362,12532,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1992,1997,6,184940,159496,11114,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1992,1998,7,184507,164013,9079,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1992,1999,8,184705,166212,7886,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1992,2000,9,183888,167397,6518,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1992,2001,10,181261,168844,4873,257236,4538,252698,0,281872
86,Allstate Ins Co Grp,1993,1993,1,114807,19744,57891,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1993,1994,2,114774,47229,39773,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1993,1995,3,101460,61909,16188,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1993,1996,4,98430,85099,5161,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1993,1997,5,96930,87215,3768,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1993,1998,6,96121,88602,3093,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1993,1999,7,98085,89444,5683,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1993,2000,8,93795,89899,1667,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1993,2001,9,93753,90446,1403,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1993,2002,10,95363,90686,2864,202249,1194,201055,0,281872
86,Allstate Ins Co Grp,1994,1994,1,107934,20379,47405,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1994,1995,2,107569,46773,22605,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1994,1996,3,97730,88636,1704,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1994,1997,4,96185,91077,537,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1994,1998,5,96124,92583,417,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1994,1999,6,95821,93346,698,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1994,2000,7,95722,93897,634,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1994,2001,8,95496,94165,362,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1994,2002,9,96374,94558,558,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1994,2003,10,95766,94730,128,176600,2219,174381,0,281872
86,Allstate Ins Co Grp,1995,1995,1,100686,18756,42787,148185,1819,146366,0,281872
86,Allstate Ins Co Grp,1995,1996,2,94456,84712,3054,148185,1819,146366,0,281872
86,Allstate Ins Co Grp,1995,1997,3,92314,87311,469,148185,1819,146366,0,281872
86,Allstate Ins Co Grp,1995,1998,4,92241,89200,416,148185,1819,146366,0,281872
86,Allstate Ins Co Grp,1995,1999,5,92929,90001,484,148185,1819,146366,0,281872
86,Allstate Ins Co Grp,1995,2000,6,92214,90247,449,148185,1819,146366,0,281872
86,Allstate Ins Co Grp,1995,2001,7,92107,90687,254,148185,1819,146366,0,281872
86,Allstate Ins Co Grp,1995,2002,8,92362,91068,325,148185,1819,146366,0,281872
86,Allstate Ins Co Grp,1995,2003,9,91470,91001,94,148185,1819,146366,0,281872
