"from_treaty","to_treaty","edge_type"
"QS01","XOL01_L1","chain"
"QS01","XOL01_L2","chain"
"QS01","XOL01_L3","chain"
"QS01","XOL01_L4","chain"
"QS01","XOL01_L5","chain"
"QS01","XOL01_L6","chain"
"QS08","XOL01_L1","chain"
"QS08","XOL01_L2","chain"
"QS08","XOL01_L3","chain"
"QS08","XOL01_L4","chain"
"QS08","XOL01_L5","chain"
"QS08","XOL01_L6","chain"
"SUR03","XOL01_L1","chain"
"SUR03","XOL01_L2","chain"
"SUR03","XOL01_L3","chain"
"SUR03","XOL01_L4","chain"
"SUR03","XOL01_L5","chain"
"SUR03","XOL01_L6","chain"
"XOL01_L6","QSTOP01","chain"
"QS02","XOL02_L1","chain"
"QS02","XOL02_L2","chain"
"QS02","XOL02_L3","chain"
"QS02","XOL02_L4","chain"
"QS02","XOL02_L5","chain"
"QS02","XOL02_L6","chain"
"QS09","XOL02_L1","chain"
"QS09","XOL02_L2","chain"
"QS09","XOL02_L3","chain"
"QS09","XOL02_L4","chain"
"QS09","XOL02_L5","chain"
"QS09","XOL02_L6","chain"
"SUR03","XOL02_L1","chain"
"SUR03","XOL02_L2","chain"
"SUR03","XOL02_L3","chain"
"SUR03","XOL02_L4","chain"
"SUR03","XOL02_L5","chain"
"SUR03","XOL02_L6","chain"
"XOL02_L6","QSTOP02","chain"
"QS03","XOL03_L1","chain"
"QS03","XOL03_L2","chain"
"QS03","XOL03_L3","chain"
"QS03","XOL03_L4","chain"
"QS03","XOL03_L5","chain"
"QS03","XOL03_L6","chain"
"QS09","XOL03_L1","chain"
"QS09","XOL03_L2","chain"
"QS09","XOL03_L3","chain"
"QS09","XOL03_L4","chain"
"QS09","XOL03_L5","chain"
"QS09","XOL03_L6","chain"
"QS10","XOL03_L1","chain"
"QS10","XOL03_L2","chain"
"QS10","XOL03_L3","chain"
"QS10","XOL03_L4","chain"
"QS10","XOL03_L5","chain"
"QS10","XOL03_L6","chain"
"XOL03_L6","QSTOP03","chain"
"QS03","XOL04_L1","chain"
"QS03","XOL04_L2","chain"
"QS03","XOL04_L3","chain"
"QS03","XOL04_L4","chain"
"QS03","XOL04_L5","chain"
"QS04","XOL04_L1","chain"
