"treaty_id","treaty_type","chain_rank","need_id","scope","attachment","limit","cession","layer","rol","reinstatements","description","treaty_label"
"QS12","quota_share",0.03,"need_1ae1edb84afc6d05","lob_5ec9f2cf609e0409",NA,NA,0.37,NA,0.28,NA,"QS on lob_5ec9f2cf609e0409, 37% ceded","Continental Europe GL QS 37%"
"QS03","quota_share",0.039,"need_03d8781e18fef9e2","lob_072509d90dee0973",NA,NA,0.38,NA,0.259,NA,"QS on lob_072509d90dee0973, 38% ceded","Continental Europe GL QS 38%"
"QS05","quota_share",0.048,"need_05f046a621059d57","lob_7dbc7e4c7c380b86",NA,NA,0.43,NA,0.235,NA,"QS on lob_7dbc7e4c7c380b86, 43% ceded","APAC Cargo Specie QS 43%"
"SUR01","surplus_share",0.05,"need_249e9dad65fc3d04","lob_5c340bb16d8b1403",NA,NA,0.15,NA,0.241,NA,"Surplus Share on lob_5c340bb16d8b1403, 15% ceded","APAC GL Surplus 15%"
"SUR02","surplus_share",0.059,"need_27f46d815b88018f","lob_48e5e1a412975a55",NA,NA,0.27,NA,0.194,NA,"Surplus Share on lob_48e5e1a412975a55, 27% ceded","US Southeast Casualty Umbrella Surplus 27%"
"QS10","quota_share",0.061,"need_19488a5801c3f71f","lob_144138733b9281ac",NA,NA,0.43,NA,0.28,NA,"QS on lob_144138733b9281ac, 43% ceded","UK D&O QS 43%"
"QS04","quota_share",0.062,"need_040663256c529e79","lob_6fd96135091380a0",NA,NA,0.38,NA,0.266,NA,"QS on lob_6fd96135091380a0, 38% ceded","US Southeast PI QS 38%"
"QS09","quota_share",0.066,"need_13bcec971b5c1ff0","lob_5a151f644f09e803",NA,NA,0.22,NA,0.227,NA,"QS on lob_5a151f644f09e803, 22% ceded","Continental Europe GL QS 22%"
"QS07","quota_share",0.069,"need_10a9211f7bec88b6","lob_31ba4be968fa1714",NA,NA,0.32,NA,0.288,NA,"QS on lob_31ba4be968fa1714, 32% ceded","US Southeast Credit QS 32%"
"QS02","quota_share",0.075,"need_030bddd831c6ebc4","lob_60eae97305b9d0bc",NA,NA,0.41,NA,0.242,NA,"QS on lob_60eae97305b9d0bc, 41% ceded","UK GL QS 41%"
"QS11","quota_share",0.087,"need_1a325b5d30c21480","lob_2bf3407d167ed9d1",NA,NA,0.38,NA,0.227,NA,"QS on lob_2bf3407d167ed9d1, 38% ceded","Continental Europe General Hull QS 38%"
"SUR03","surplus_share",0.089,"need_2a721a1b1b755df0","lob_0704378d4b16e6b1",NA,NA,0.16,NA,0.193,NA,"Surplus Share on lob_0704378d4b16e6b1, 16% ceded","US Southeast Fleet Auto Surplus 16%"
"QS01","quota_share",0.096,"need_01c816ab4cbcfa4c","lob_7945c1570c9592db",NA,NA,0.43,NA,0.214,NA,"QS on lob_7945c1570c9592db, 43% ceded","UK Property Non-Cat QS 43%"
"QS06","quota_share",0.098,"need_0fcda1692f047299","lob_6d41f7d04ca5523b",NA,NA,0.44,NA,0.194,NA,"QS on lob_6d41f7d04ca5523b, 44% ceded","Continental Europe Casualty Umbrella QS 44%"
"QS08","quota_share",0.099,"need_121348026222e024","lob_65066c667f902fa2",NA,NA,0.23,NA,0.294,NA,"QS on lob_65066c667f902fa2, 23% ceded","US Southeast Cargo Specie QS 23%"
