GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurLoss_B,CumPaidLoss_B,BulkLoss_B,EarnedPremDIR_B,EarnedPremCeded_B,EarnedPremNet_B,Single,PostedReserve97_B
43,IDS Property Cas Ins Co,1988,1988,1,607,133,226,957,62,895,0,73044
43,IDS Property Cas Ins Co,1988,1989,2,647,333,129,957,62,895,0,73044
43,IDS Property Cas Ins Co,1988,1990,3,582,431,38,957,62,895,0,73044
43,IDS Property Cas Ins Co,1988,1991,4,598,570,19,957,62,895,0,73044
43,IDS Property Cas Ins Co,1988,1992,5,614,615,0,957,62,895,0,73044
43,IDS Property Cas Ins Co,1988,1993,6,615,615,0,957,62,895,0,73044
43,IDS Property Cas Ins Co,1988,1994,7,615,615,0,957,62,895,0,73044
43,IDS Property Cas Ins Co,1988,1995,8,614,614,0,957,62,895,0,73044
43,IDS Property Cas Ins Co,1988,1996,9,614,614,0,957,62,895,0,73044
43,IDS Property Cas Ins Co,1988,1997,10,614,614,0,957,62,895,0,73044
43,IDS Property Cas Ins Co,1989,1989,1,2254,934,495,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1989,1990,2,2859,1746,515,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1989,1991,3,2979,2365,357,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1989,1992,4,2764,2579,47,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1989,1993,5,2826,2763,0,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1989,1994,6,3017,2966,0,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1989,1995,7,2990,2940,0,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1989,1996,8,2978,2978,0,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1989,1997,9,2978,2978,0,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1989,1998,10,2938,2938,0,3695,288,3407,0,73044
43,IDS Property Cas Ins Co,1990,1990,1,5843,2030,1669,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1990,1991,2,7424,4864,757,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1990,1992,3,8307,6880,188,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1990,1993,4,8671,8087,50,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1990,1994,5,9066,8595,235,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1990,1995,6,8926,8743,146,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1990,1996,7,8767,8763,1,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1990,1997,8,8765,8762,0,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1990,1998,9,8732,8729,0,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1990,1999,10,8802,8802,0,6138,249,5889,0,73044
43,IDS Property Cas Ins Co,1991,1991,1,11422,4537,2941,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1991,1992,2,16093,11527,951,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1991,1993,3,18648,15123,1472,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1991,1994,4,19095,16656,1179,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1991,1995,5,18653,17321,307,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1991,1996,6,18469,18076,98,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1991,1997,7,18407,18308,-3,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1991,1998,8,18640,18602,0,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1991,1999,9,18472,18434,0,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1991,2000,10,18464,18464,0,17533,749,16784,0,73044
43,IDS Property Cas Ins Co,1992,1992,1,19933,7564,4885,29341,1694,27647,0,73044
43,IDS Property Cas Ins Co,1992,1993,2,24162,16061,2630,29341,1694,27647,0,73044
43,IDS Property Cas Ins Co,1992,1994,3,28739,22465,2998,29341,1694,27647,0,73044
43,IDS Property Cas Ins Co,1992,1995,4,28329,25204,1268,29341,1694,27647,0,73044
43,IDS Property Cas Ins Co,1992,1996,5,28071,26517,617,29341,1694,27647,0,73044
43,IDS Property Cas Ins Co,1992,1997,6,27722,27124,56,29341,1694,27647,0,73044
43,IDS Property Cas Ins Co,1992,1998,7,27580,27191,6,29341,1694,27647,0,73044
43,IDS Property Cas Ins Co,1992,1999,8,27873,27680,2,29341,1694,27647,0,73044
43,IDS Property Cas Ins Co,1992,2000,9,27662,27645,0,29341,1694,27647,0,73044
43,IDS Property Cas Ins Co,1992,2001,10,27662,27662,0,29341,1694,27647,0,73044
