date,count,package
2014-01-01,0,dplyr
2014-01-02,0,dplyr
2014-01-03,0,dplyr
2014-01-04,0,dplyr
2014-01-05,0,dplyr
2014-01-06,0,dplyr
2014-01-07,0,dplyr
2014-01-08,0,dplyr
2014-01-09,0,dplyr
2014-01-10,0,dplyr
2014-01-11,0,dplyr
2014-01-12,0,dplyr
2014-01-13,0,dplyr
2014-01-14,0,dplyr
2014-01-15,0,dplyr
2014-01-16,0,dplyr
2014-01-17,77,dplyr
2014-01-18,138,dplyr
2014-01-19,125,dplyr
2014-01-20,204,dplyr
2014-01-21,147,dplyr
2014-01-22,123,dplyr
2014-01-23,196,dplyr
2014-01-24,177,dplyr
2014-01-25,86,dplyr
2014-01-26,64,dplyr
2014-01-27,107,dplyr
2014-01-28,145,dplyr
2014-01-29,90,dplyr
2014-01-30,242,dplyr
2014-01-31,215,dplyr
2014-02-01,103,dplyr
2014-02-02,79,dplyr
2014-02-03,176,dplyr
2014-02-04,178,dplyr
2014-02-05,170,dplyr
2014-02-06,135,dplyr
2014-02-07,120,dplyr
2014-02-08,106,dplyr
2014-02-09,62,dplyr
2014-02-10,95,dplyr
2014-02-11,134,dplyr
2014-02-12,113,dplyr
2014-02-13,102,dplyr
2014-02-14,121,dplyr
2014-02-15,66,dplyr
2014-02-16,38,dplyr
2014-02-17,124,dplyr
2014-02-18,148,dplyr
2014-02-19,116,dplyr
2014-02-20,81,dplyr
2014-02-21,109,dplyr
2014-02-22,56,dplyr
2014-02-23,60,dplyr
2014-02-24,125,dplyr
2014-02-25,303,dplyr
2014-02-26,343,dplyr
2014-02-27,320,dplyr
2014-02-28,234,dplyr
2014-03-01,122,dplyr
2014-03-02,111,dplyr
2014-03-03,157,dplyr
2014-03-04,248,dplyr
2014-03-05,154,dplyr
2014-03-06,127,dplyr
2014-03-07,117,dplyr
2014-03-08,67,dplyr
2014-03-09,70,dplyr
2014-03-10,162,dplyr
2014-03-11,149,dplyr
2014-03-12,129,dplyr
2014-03-13,142,dplyr
2014-03-14,121,dplyr
2014-03-15,95,dplyr
2014-03-16,166,dplyr
2014-03-17,337,dplyr
2014-03-18,233,dplyr
2014-03-19,192,dplyr
2014-03-20,178,dplyr
2014-03-21,198,dplyr
2014-03-22,110,dplyr
2014-03-23,120,dplyr
2014-03-24,162,dplyr
2014-03-25,201,dplyr
2014-03-26,179,dplyr
2014-03-27,178,dplyr
2014-03-28,198,dplyr
2014-03-29,99,dplyr
2014-03-30,109,dplyr
2014-03-31,158,dplyr
2014-04-01,163,dplyr
2014-04-02,172,dplyr
2014-04-03,191,dplyr
2014-04-04,146,dplyr
2014-04-05,81,dplyr
2014-04-06,52,dplyr
2014-04-07,193,dplyr
2014-04-08,221,dplyr
2014-04-09,239,dplyr
2014-04-10,214,dplyr
2014-04-11,217,dplyr
2014-04-12,176,dplyr
2014-04-13,140,dplyr
2014-04-14,274,dplyr
2014-04-15,238,dplyr
2014-04-16,188,dplyr
2014-04-17,193,dplyr
2014-04-18,233,dplyr
2014-04-19,107,dplyr
2014-04-20,95,dplyr
2014-04-21,221,dplyr
2014-04-22,250,dplyr
2014-04-23,231,dplyr
2014-04-24,204,dplyr
2014-04-25,170,dplyr
2014-04-26,125,dplyr
2014-04-27,104,dplyr
2014-04-28,215,dplyr
2014-04-29,219,dplyr
2014-04-30,215,dplyr
2014-05-01,182,dplyr
2014-05-02,195,dplyr
2014-05-03,82,dplyr
2014-05-04,108,dplyr
2014-05-05,178,dplyr
2014-05-06,203,dplyr
2014-05-07,213,dplyr
2014-05-08,208,dplyr
2014-05-09,163,dplyr
2014-05-10,81,dplyr
2014-05-11,68,dplyr
2014-05-12,189,dplyr
2014-05-13,198,dplyr
2014-05-14,283,dplyr
2014-05-15,250,dplyr
2014-05-16,16,dplyr
2014-05-17,19,dplyr
2014-05-18,77,dplyr
2014-05-19,174,dplyr
2014-05-20,208,dplyr
2014-05-21,97,dplyr
2014-05-22,556,dplyr
2014-05-23,434,dplyr
2014-05-24,192,dplyr
2014-05-25,153,dplyr
2014-05-26,244,dplyr
2014-05-27,389,dplyr
2014-05-28,285,dplyr
2014-05-29,318,dplyr
2014-05-30,236,dplyr
2014-05-31,159,dplyr
2014-06-01,160,dplyr
2014-06-02,268,dplyr
2014-06-03,298,dplyr
2014-06-04,288,dplyr
2014-06-05,230,dplyr
2014-06-06,213,dplyr
2014-06-07,108,dplyr
2014-06-08,103,dplyr
2014-06-09,257,dplyr
2014-06-10,240,dplyr
2014-06-11,286,dplyr
2014-06-12,220,dplyr
2014-06-13,201,dplyr
2014-06-14,93,dplyr
2014-06-15,112,dplyr
2014-06-16,265,dplyr
2014-06-17,309,dplyr
2014-06-18,297,dplyr
2014-06-19,277,dplyr
2014-06-20,211,dplyr
2014-06-21,126,dplyr
2014-06-22,131,dplyr
2014-06-23,330,dplyr
2014-06-24,495,dplyr
2014-06-25,376,dplyr
2014-06-26,315,dplyr
2014-06-27,246,dplyr
2014-06-28,144,dplyr
2014-06-29,143,dplyr
2014-06-30,399,dplyr
2014-07-01,319,dplyr
2014-07-02,263,dplyr
2014-07-03,256,dplyr
2014-07-04,235,dplyr
2014-07-05,141,dplyr
2014-07-06,150,dplyr
2014-07-07,321,dplyr
2014-07-08,353,dplyr
2014-07-09,332,dplyr
2014-07-10,290,dplyr
2014-07-11,357,dplyr
2014-07-12,155,dplyr
2014-07-13,116,dplyr
2014-07-14,268,dplyr
2014-07-15,315,dplyr
2014-07-16,253,dplyr
2014-07-17,291,dplyr
2014-07-18,271,dplyr
2014-07-19,142,dplyr
2014-07-20,139,dplyr
2014-07-21,341,dplyr
2014-07-22,336,dplyr
2014-07-23,363,dplyr
2014-07-24,377,dplyr
2014-07-25,293,dplyr
2014-07-26,164,dplyr
2014-07-27,169,dplyr
2014-07-28,503,dplyr
2014-07-29,313,dplyr
2014-07-30,482,dplyr
2014-07-31,468,dplyr
2014-08-01,362,dplyr
2014-08-02,177,dplyr
2014-08-03,148,dplyr
2014-08-04,338,dplyr
2014-08-05,361,dplyr
2014-08-06,429,dplyr
2014-08-07,385,dplyr
2014-08-08,276,dplyr
2014-08-09,182,dplyr
2014-08-10,173,dplyr
2014-08-11,438,dplyr
2014-08-12,389,dplyr
2014-08-13,367,dplyr
2014-08-14,387,dplyr
2014-08-15,404,dplyr
2014-08-16,174,dplyr
2014-08-17,181,dplyr
2014-08-18,525,dplyr
2014-08-19,386,dplyr
2014-08-20,602,dplyr
2014-08-21,586,dplyr
2014-08-22,565,dplyr
2014-08-23,287,dplyr
2014-08-24,322,dplyr
2014-08-25,447,dplyr
2014-08-26,500,dplyr
2014-08-27,578,dplyr
2014-08-28,512,dplyr
2014-08-29,451,dplyr
2014-08-30,245,dplyr
2014-08-31,236,dplyr
2014-09-01,531,dplyr
2014-09-02,767,dplyr
2014-09-03,785,dplyr
2014-09-04,733,dplyr
2014-09-05,767,dplyr
2014-09-06,403,dplyr
2014-09-07,480,dplyr
2014-09-08,678,dplyr
2014-09-09,849,dplyr
2014-09-10,838,dplyr
2014-09-11,843,dplyr
2014-09-12,1010,dplyr
2014-09-13,447,dplyr
2014-09-14,401,dplyr
2014-09-15,782,dplyr
2014-09-16,892,dplyr
2014-09-17,819,dplyr
2014-09-18,799,dplyr
2014-09-19,877,dplyr
2014-09-20,377,dplyr
2014-09-21,343,dplyr
2014-09-22,123,dplyr
2014-09-23,109,dplyr
2014-09-24,790,dplyr
2014-09-25,783,dplyr
2014-09-26,820,dplyr
2014-09-27,365,dplyr
2014-09-28,453,dplyr
2014-09-29,854,dplyr
2014-09-30,672,dplyr
2014-10-01,703,dplyr
2014-10-02,698,dplyr
2014-10-03,624,dplyr
2014-10-04,336,dplyr
2014-10-05,363,dplyr
2014-10-06,877,dplyr
2014-10-07,1017,dplyr
2014-10-08,956,dplyr
2014-10-09,1278,dplyr
2014-10-10,1177,dplyr
2014-10-11,586,dplyr
2014-10-12,617,dplyr
2014-10-13,1363,dplyr
2014-10-14,1676,dplyr
2014-10-15,1349,dplyr
2014-10-16,1185,dplyr
2014-10-17,1067,dplyr
2014-10-18,569,dplyr
2014-10-19,646,dplyr
2014-10-20,1000,dplyr
2014-10-21,1091,dplyr
2014-10-22,1029,dplyr
2014-10-23,1033,dplyr
2014-10-24,897,dplyr
2014-10-25,491,dplyr
2014-10-26,675,dplyr
2014-10-27,956,dplyr
2014-10-28,993,dplyr
2014-10-29,992,dplyr
2014-10-30,902,dplyr
2014-10-31,976,dplyr
2014-11-01,512,dplyr
2014-11-02,606,dplyr
2014-11-03,1062,dplyr
2014-11-04,1228,dplyr
2014-11-05,1063,dplyr
2014-11-06,1137,dplyr
2014-11-07,1022,dplyr
2014-11-08,523,dplyr
2014-11-09,571,dplyr
2014-11-10,995,dplyr
2014-11-11,1058,dplyr
2014-11-12,1016,dplyr
2014-11-13,1111,dplyr
2014-11-14,837,dplyr
2014-11-15,561,dplyr
2014-11-16,583,dplyr
2014-11-17,0,dplyr
2014-11-18,1051,dplyr
2014-11-19,953,dplyr
2014-11-20,730,dplyr
2014-11-21,768,dplyr
2014-11-22,472,dplyr
2014-11-23,609,dplyr
2014-11-24,1032,dplyr
2014-11-25,895,dplyr
2014-11-26,883,dplyr
2014-11-27,626,dplyr
2014-11-28,673,dplyr
2014-11-29,498,dplyr
2014-11-30,506,dplyr
2014-12-01,973,dplyr
2014-12-02,1167,dplyr
2014-12-03,1020,dplyr
2014-12-04,1041,dplyr
2014-12-05,955,dplyr
2014-12-06,574,dplyr
2014-12-07,515,dplyr
2014-12-08,939,dplyr
2014-12-09,1075,dplyr
2014-12-10,995,dplyr
2014-12-11,893,dplyr
2014-12-12,753,dplyr
2014-12-13,530,dplyr
2014-12-14,468,dplyr
2014-12-15,824,dplyr
2014-12-16,828,dplyr
2014-12-17,763,dplyr
2014-12-18,781,dplyr
2014-12-19,722,dplyr
2014-12-20,464,dplyr
2014-12-21,522,dplyr
2014-12-22,716,dplyr
2014-12-23,660,dplyr
2014-12-24,395,dplyr
2014-12-25,283,dplyr
2014-12-26,340,dplyr
2014-12-27,312,dplyr
2014-12-28,376,dplyr
2014-12-29,447,dplyr
2014-12-30,511,dplyr
2014-12-31,359,dplyr
2015-01-01,267,dplyr
